App1 - SLLC,App1 - DRAM,App1 - NET,App2 - SLLC,App2 - DRAM,App2 - NET,App3 - SLLC,App3 - DRAM,App3 - NET,Nivel de interferencia
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito alto,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito alto,Muito baixo,Baixo,Muito baixo,Muito baixo,Baixo,Baixo,Muito baixo
Muito alto,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo
Muito alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo,Muito baixo
Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo,Baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Baixo,Baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Baixo,Muito alto,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Baixo,Baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Baixo,Baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo
Muito baixo,Muito alto,Muito alto,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito alto,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito alto,Muito alto,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Baixo,Muito alto,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Baixo,Baixo,Muito baixo,Muito baixo
Baixo,Baixo,Muito alto,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito baixo
Muito alto,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito alto,Baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Baixo,Muito baixo,Muito alto,Baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Muito baixo
Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito alto,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Muito alto,Muito alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo
Baixo,Baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito baixo
